label,kind,requested_label_radius,measured_time_norm,measured_euclidean_norm,dt_s,success,future_dT_K,future_max_dY,increment_dT_K,increment_max_dY,scaled_future,scaled_increment,gain_future,gain_increment,gain_T,gain_Y,gain_denominator_status
heldout_5,held_out,0.6,0.6000000000000001,1.0392304845413267,1e-07,True,0.10524338393406651,2.1507586153712843e-06,0.023421986318680865,1.239502414587812e-05,0.0010903983803946268,0.0016733165172929214,0.6616390952372592,1.015345993219989,1.2862574705553136,0.15034333162892477,resolved
heldout_5,held_out,0.6,0.6000000000000001,1.0392304845413267,1e-06,True,0.10990357681248497,6.97752070613622e-06,0.028082179197099322,1.7221786236643055e-05,0.001357277110820379,0.002183104204767228,0.8235775251834387,1.324678316495748,1.343213144917226,0.4877459060133695,resolved
heldout_5,held_out,0.6,0.6000000000000001,1.0392304845413267,1e-05,True,0.0947577970596285,6.793349758726919e-06,0.012936399444242852,1.7037615289233754e-05,0.0012300238538657728,0.002084310207633895,0.746361957633743,1.2647314456516132,1.1581053345611674,0.47487190256878026,resolved
heldout_5,held_out,0.6,0.6000000000000001,1.0392304845413267,0.0001,True,0.024167758689145558,1.7571734813037754e-06,0.05765363892624009,1.200143901181061e-05,0.00031552036340877975,0.0016892648336231974,0.19145351967522506,1.0250232174135014,0.29537210795090435,0.12283076005886445,resolved
heldout_6,held_out,0.1,0.09999999999999998,0.1732050807568877,1e-07,True,0.008624456717370776,1.8448120370218035e-07,0.0018917195293397526,1.0063057137854603e-06,8.971490431273139e-05,0.00013539347922225653,0.6777557510263597,1.0228368396234266,1.280973321326535,0.161869287835229,resolved
heldout_6,held_out,0.1,0.09999999999999998,0.1732050807568877,1e-06,True,0.00898548645182018,5.764062186719432e-07,0.0022527492637891555,1.3982307287552231e-06,0.00011137118970254733,0.00017636350728541224,0.8413592468028467,1.332346974558438,1.3345963463112642,0.5057559374495886,resolved
heldout_6,held_out,0.1,0.09999999999999998,0.1732050807568877,1e-05,True,0.007735055280591041,5.587409369900431e-07,0.0010023180925600172,1.380565447073323e-06,0.00010071396011537767,0.00016829589562901111,0.7608486705720084,1.2713997970625666,1.148872303279841,0.4902558945841154,resolved
heldout_6,held_out,0.1,0.09999999999999998,0.1732050807568877,0.0001,True,0.001954215226305678,1.4236012874091486e-07,0.004778521961725346,9.641846388241948e-07,2.55334780261018e-05,0.0001355499722984067,0.19289394229939416,1.0240190744278785,0.29025568230700305,0.12491100552782795,resolved
heldout_7,held_out,0.3,0.29999999999999993,0.5196152422706631,1e-07,True,0.014560338881892676,3.111744405204231e-07,0.0031273452918867406,1.6662578619930368e-06,0.00015186517271536946,0.00022383207074335977,0.6947171873704654,1.0239344798400682,1.2735368709224577,0.16701200546579933,resolved
heldout_7,held_out,0.3,0.29999999999999993,0.5196152422706631,1e-06,True,0.015141944527840678,9.671679389866572e-07,0.003708950937834743,2.322251360459271e-06,0.00018746418653585198,0.0002917113491730709,0.8575672096127608,1.3344526885132877,1.324407681036128,0.5190935889279248,resolved
heldout_7,held_out,0.3,0.29999999999999993,0.5196152422706631,1e-05,True,0.013031577708261466,9.409347616617936e-07,0.0015985841182555305,2.2960181831344073e-06,0.00016964770876334956,0.00027866396461286724,0.776064564169757,1.2747665725846935,1.139822007741955,0.5050138478430272,resolved
heldout_7,held_out,0.3,0.29999999999999993,0.5196152422706631,0.0001,True,0.0032941436757027986,2.399449595402725e-07,0.008138849914303137,1.5950283810128862e-06,4.303885328589568e-05,0.00022362858973695862,0.1968840555593795,1.0230036426380766,0.2881260843688699,0.12878207100560646,resolved
heldout_8,held_out,0.6,0.5999999999999999,1.0392304845413263,1e-07,True,0.01701800653063401,3.717778336020938e-07,0.0037836494248040253,2.0151264661649737e-06,0.00017696806548094876,0.00027095097219681556,0.6695731643044107,1.025165186340972,1.28589597473815,0.16250562740380656,resolved
heldout_8,held_out,0.6,0.5999999999999999,1.0392304845413263,1e-06,True,0.01774248920219179,1.1488893829902924e-06,0.0045081320963618055,2.7922380155531723e-06,0.00022056586229378172,0.0003525638517351917,0.8345289979421577,1.3339541978046705,1.340638541057343,0.5021842969805239,resolved
heldout_8,held_out,0.6,0.5999999999999999,1.0392304845413263,1e-05,True,0.015264948212006857,1.107241045267271e-06,0.002030591106176871,2.750589677830151e-06,0.00019909424651851993,0.0003360623919536273,0.753289381753223,1.2715195737296647,1.153433301666188,0.4839796364540198,resolved
heldout_8,held_out,0.6,0.5999999999999999,1.0392304845413263,0.0001,True,0.0038358998313015036,2.7972966143430256e-07,0.009398457274528482,1.9230782939971824e-06,5.014108427695908e-05,0.0002707720719622839,0.18971289746393194,1.0244883026568756,0.28984406273967905,0.12227099096899927,resolved
heldout_9,held_out,0.1,0.10000000000000003,0.17320508075688779,1e-07,True,0.014275084795826842,3.045839903903502e-07,0.0031371579025289975,1.6682049625849071e-06,0.00014844088073949835,0.00022450766818283118,0.6759566424956682,1.0223426918742156,1.28166443653143,0.16093417757968054,resolved
