case,measured_time_norm,reference_used,dt_s,future_dT_K,future_max_abs_dY,increment_dT_K,increment_max_abs_dY,E_max_T1_Y1e-3,E_max_T1_Y1e-4,E_max_T10_Y1e-3,enthalpy_mismatch_J_kg,elemental_mismatch_max
test_7,0.29999999999999993,predicted_canonical,1e-07,-0.042141802068726975,8.585289726914525e-07,-0.009146886129656195,4.9094467056975954e-06,0.042141802068726975,0.042141802068726975,0.0042141802068726975,1.1641532182693481e-09,4.718447854656915e-16
test_7,0.29999999999999993,predicted_canonical,1e-06,-0.043658545464950294,2.6864775072021896e-06,-0.010663629525879514,6.945638932942533e-06,0.043658545464950294,0.043658545464950294,0.0043658545464950295,1.3969838619232178e-09,4.718447854656915e-16
test_7,0.29999999999999993,predicted_canonical,1e-05,-0.03742412228393732,2.703079564458921e-06,-0.004429206344866543,6.962240990199264e-06,0.03742412228393732,0.03742412228393732,0.0037424122283937324,2.0954757928848267e-09,4.718447854656915e-16
test_7,0.29999999999999993,predicted_canonical,0.0001,-0.009455983409679902,6.88832237805137e-07,0.023538932529390877,4.94799366354548e-06,0.009455983409679902,0.009455983409679902,0.0009455983409679902,2.9802322387695312e-08,4.718447854656915e-16
test_7,0.29999999999999993,predicted_corrected,1e-07,0.0033948546010833525,7.186920109730766e-07,0.00103746637569202,5.010499800062185e-07,0.0033948546010833525,0.0071869201097307656,0.0007186920109730766,4.656612873077393e-10,5.273559366969494e-16
test_7,0.29999999999999993,predicted_corrected,1e-06,0.003867450373036263,3.8000999550563686e-07,0.0015100621476449305,7.871484833769926e-07,0.003867450373036263,0.003867450373036263,0.0003867450373036263,1.3969838619232178e-09,5.273559366969494e-16
test_7,0.29999999999999993,predicted_corrected,1e-05,0.003506557462969795,2.532956598078062e-07,0.0011491692375784623,9.012118881018827e-07,0.003506557462969795,0.003506557462969795,0.00035065574629697947,4.889443516731262e-09,5.273559366969494e-16
test_7,0.29999999999999993,predicted_corrected,0.0001,0.0008860380289661407,6.454419881896101e-08,-0.0014713501964251918,8.5812947362221e-07,0.0008860380289661407,0.0008860380289661407,8.860380289661407e-05,3.189779818058014e-08,5.273559366969494e-16
test_7,0.29999999999999993,oracle_canonical,1e-07,-0.04196038708278138,8.983011010599284e-07,-0.009114561639307794,4.8519895949339364e-06,0.04196038708278138,0.04196038708278138,0.004196038708278138,1.6298145055770874e-09,5.551115123125783e-16
test_7,0.29999999999999993,oracle_canonical,1e-06,-0.04367818466971585,2.7968079801821144e-06,-0.01083235922624226,6.750496474056122e-06,0.04367818466971585,0.04367818466971585,0.0043678184669715845,2.3283064365386963e-09,5.551115123125783e-16
test_7,0.29999999999999993,oracle_canonical,1e-05,-0.037594643926695426,2.7154186996725116e-06,-0.004748818483221839,6.66910719354652e-06,0.037594643926695426,0.037594643926695426,0.0037594643926695424,2.0954757928848267e-09,5.551115123125783e-16
test_7,0.29999999999999993,oracle_canonical,0.0001,-0.009499077513737575,6.919714928554921e-07,0.02334674792973601,4.6456599867295e-06,0.009499077513737575,0.009499077513737575,0.0009499077513737575,2.9802322387695312e-08,5.551115123125783e-16
test_8,0.3,predicted_canonical,1e-07,0.03982640553431338,7.580757372116498e-07,0.008926559321025707,4.755786113780358e-06,0.03982640553431338,0.03982640553431338,0.003982640553431338,3.026798367500305e-09,1.1102230246251565e-16
test_8,0.3,predicted_canonical,1e-06,0.04149999884475619,2.6335793440468436e-06,0.010600152631468518,6.631289720615552e-06,0.04149999884475619,0.04149999884475619,0.004149999884475619,1.862645149230957e-09,1.1102230246251565e-16
test_8,0.3,predicted_canonical,1e-05,0.03568120772251859,2.577871469094939e-06,0.004781361509230919,6.575581845663647e-06,0.03568120772251859,0.03568120772251859,0.0035681207722518594,6.28642737865448e-09,1.1102230246251565e-16
test_8,0.3,predicted_canonical,0.0001,0.009012617889766261,6.565778076506046e-07,-0.021887228323521413,4.654288184219313e-06,0.009012617889766261,0.009012617889766261,0.0009012617889766261,2.491287887096405e-08,1.1102230246251565e-16
